technology,location,0,1,2,3,4,5
carbon_pipeline,AT-SI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,AT-SK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-LU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-NL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BE-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BG-EL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BG-RO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CH-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CH-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CH-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CH-IT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CZ-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CZ-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CZ-PL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CZ-SK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-BE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-CH,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-CZ,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-DK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-LU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-NL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-PL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-SE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-NL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-SE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,EE-FI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,EE-LV,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,EL-BG,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,EL-IT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,ES-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,ES-PT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FI-EE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FI-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FI-SE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-BE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-CH,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-ES,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-IT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-LU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HR-HU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HR-SI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-HR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-RO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-SI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-SK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IE-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-CH,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-EL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-SI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,LT-LV,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,LT-PL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,LT-SE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,LU-BE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,LU-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,LU-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,LV-EE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,LV-LT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NL-BE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NL-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NL-DK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NL-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NL-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NO-BE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NO-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NO-DK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NO-FI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NO-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NO-NL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NO-SE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,NO-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,PL-CZ,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,PL-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,PL-LT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,PL-SE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,PL-SK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,PT-ES,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,RO-BG,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,RO-HU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,SE-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,SE-DK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,SE-FI,0.0,0.0,0.0,0.0,0.0,0.0
