technology,capacity_type,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
battery,energy,FR,2.465945048224788e-07,4.769770391490187e-10,2.1500967071581899e-10,3.94235548975303e-10,1.359216629511013e-09,6.407818841249669e-08,2.8039500983649592e-08,2.450007744186941e-08,2.890277731656606e-09,3.5207335692076955e-08,1.8055193457689004e-07,5.187427190054828e-08,8.102484032999399e-08,3.2951973419965476e-07,1.194422501752634e-07,2.3964873732536915e-07,1.3336136248109813e-07,1.62773982103676e-07,3.3669840135630786e-07,6.833439200362849e-07,5.492878144608651e-07
battery,energy,HR,2.579825500603177e-07,3.890474641797551e-10,1.8680924948915126e-10,3.0759064324200886e-10,9.334757828157925e-10,5.968950549874578e-08,2.4109903715827452e-08,2.5012222621755635e-08,2.7270659185054387e-09,4.327493973965467e-08,2.760298398861519e-07,4.629776679130602e-08,1.4207939341230113e-07,3.632003575284195e-07,1.761347513496923e-07,3.5177600878645126e-07,2.5749803897622e-07,4.2348151632908683e-07,5.62834771452988e-07,1.4956844399229293e-06,2.002745700748986e-06
battery,energy,HU,2.554591389081336e-07,4.991938267839532e-10,2.099242652621946e-10,3.8697017258682114e-10,1.1312034583332866e-09,6.88882581153171e-08,2.7358168719616097e-08,2.4049027361370534e-08,2.624976915882565e-09,4.434371274313398e-08,2.3872795991119556e-07,9.8800745056943e-08,1.2738364505941286e-07,3.894440829586452e-07,1.9139423780325975e-07,4.297787026105662e-07,2.957756216968922e-07,4.481961265353098e-07,8.745910180163673e-07,1.8359072510722517e-06,3.2044065476034863e-06
battery,energy,IE,2.487332934687864e-07,5.511330199067813e-10,2.1584718492470998e-10,3.394241828747407e-10,1.2603996843399378e-09,6.477016130654353e-08,2.8841551535968065e-08,2.4056500779685915e-08,2.9627857667660384e-09,4.102630862234239e-08,1.6344515938485025e-07,6.350850873188895e-08,9.093056674508312e-08,3.4044784746738413e-07,1.0375653240274625e-07,2.0965024256810585e-07,1.5287169274363848e-07,1.8783517701356552e-07,3.322075473255121e-07,4.448657031524321e-07,5.040340235348294e-07
battery,energy,IT,2.65759310831294e-07,4.6004504958607236e-10,1.9606271940561292e-10,3.253966762814707e-10,8.865222165853344e-10,5.037148295627868e-08,3.009355422129304e-08,3.2499002988069504e-08,3.980384522296639e-09,4.905658161433361e-08,2.0595003120138335e-07,9.065858337829417e-08,1.369312644256082e-07,3.932931386158618e-07,1.9790521730437167e-07,3.823063416979445e-07,3.3493496001116796e-07,5.016234608478205e-07,8.840438458030387e-07,1.630271426569699e-06,2.0003034238971616e-06
battery,energy,LT,2.5753224705019046e-07,2.7727361498377515e-10,1.7081197407330895e-10,3.0292202365890215e-10,1.0813006851850978e-09,5.774392079226965e-08,2.8014325124625972e-08,2.467731804669343e-08,2.0502064613815108e-09,3.474521727054283e-08,1.6697029674745608e-07,7.341050522945215e-08,9.061993843649167e-08,3.517126125615719e-07,1.7585141370513091e-07,2.7041297031993623e-07,1.9637780976304122e-07,2.2200546974020504e-07,4.924886904011048e-07,4.6441488410643154e-07,5.396180796746518e-07
battery,energy,LU,2.4266451766578294e-07,5.4712955506841e-10,2.2603395362760183e-10,4.994233161155755e-10,1.810658057568183e-09,6.607431566190458e-08,2.8387135761579216e-08,2.3143454102510707e-08,2.438105810558577e-09,3.403368769369209e-08,2.4252389717199727e-07,3.2818966890428755e-08,6.966219672171585e-08,3.2625932534515486e-07,1.2730935902558987e-07,2.6209911335273465e-07,1.5363248904123934e-07,1.8430740745002355e-07,3.692091804139082e-07,7.292210555710386e-07,5.902418262286284e-07
battery,energy,LV,2.5842022148716334e-07,2.7465586388163035e-10,1.7060897759693043e-10,3.009881463923235e-10,1.0367679630961883e-09,5.756193305547726e-08,2.7685030547615465e-08,2.476494402871415e-08,2.104438879417178e-09,3.235938394471609e-08,1.9323044708025065e-07,6.279305575262079e-08,8.714823187137504e-08,3.5013514811858187e-07,1.7849747670959253e-07,2.7682356088286944e-07,2.012327333698564e-07,2.2796301529247933e-07,5.032312435207562e-07,4.923361217407356e-07,6.786735755271273e-07
battery,energy,NL,2.565556309064954e-07,5.616270819216621e-10,2.1425781100073883e-10,3.5803259778914966e-10,1.0802210136566164e-09,6.59602505596506e-08,3.1688366576973065e-08,2.6019371243004934e-08,2.294634562885572e-09,4.00943254183575e-08,2.3227075958307006e-07,6.80389011975278e-08,1.0130088763227562e-07,4.1278555432589465e-07,2.0725162460609013e-07,3.479888193898834e-07,2.918200686705442e-07,3.1569946138753844e-07,5.319976575441437e-07,5.560270589022031e-07,7.476519565692595e-07
battery,energy,NO,2.483055544370588e-07,2.9383973152790524e-10,1.7512771675703365e-10,3.00611180638752e-10,9.145373204798773e-10,5.169786847294649e-08,2.517665019724239e-08,2.2138301263597212e-08,3.0954975856686897e-09,3.654523708866466e-08,1.7960955992652894e-07,4.877723805786009e-08,8.120612256526599e-08,3.38798111359211e-07,1.2174143726982198e-07,2.216905344782258e-07,1.6145858315388332e-07,1.973353398181458e-07,3.4520552445101574e-07,5.249530188371282e-07,6.958045149640416e-07
