technology,location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
DAC,FI,2.985028033367656e-07,3.5836882595079117e-07,3.8866108789199993e-07,4.228250516500028e-07,4.439433458815025e-07,4.6666319614011844e-07,4.88284596938578e-07,5.084795515155628e-07,5.327476395404824e-07,5.62688594180671e-07,5.983457739787789e-07,6.405324065649022e-07,6.86564921205371e-07,7.377011514993499e-07,7.939349450379257e-07,8.548285084823339e-07,9.14519633820056e-07,9.855992470257223e-07,1.0776216598233287e-06,1.1880260912455144e-06,1.1825912117621256e-06
DAC,FR,3.226019064232615e-07,3.554278963935256e-07,3.829945411979487e-07,4.2556957579650744e-07,4.5702163069129417e-07,4.855221949404134e-07,5.135885655234312e-07,5.395915167514844e-07,5.623038775926012e-07,5.802026113088229e-07,6.065771865071677e-07,6.397458270803471e-07,6.794287341204708e-07,7.262022878473786e-07,7.794105095777939e-07,8.361884109644399e-07,8.937279604902972e-07,9.542122847685869e-07,1.0238894872718816e-06,1.1164116209569857e-06,1.1305184241160053e-06
DAC,HR,3.2029023403320376e-07,3.530488949576718e-07,3.7884083745463216e-07,4.1901332025869537e-07,4.50241316384455e-07,4.786599545203102e-07,5.069862480111185e-07,5.360605938192438e-07,5.656731875974581e-07,5.932760819020648e-07,6.178353198434326e-07,6.383072924233464e-07,6.662255020532201e-07,7.001340515297882e-07,7.383606362766638e-07,7.789717421330289e-07,8.235419433849243e-07,8.784769630215868e-07,9.451252094709595e-07,1.0444660794270992e-06,1.079340784890777e-06
DAC,HU,3.2494740220790604e-07,3.567639796683977e-07,3.819554360542648e-07,4.2027289565180907e-07,4.5078385532466405e-07,4.781781740855195e-07,5.044980077178472e-07,5.289403187299187e-07,5.503993818654472e-07,5.671588115271097e-07,5.92415219086123e-07,6.233295774182333e-07,6.601813403017438e-07,7.005921081885429e-07,7.457513248344134e-07,7.966516726182607e-07,8.566874890965443e-07,9.240111064782092e-07,9.975118088350265e-07,1.09673225316324e-06,1.1352099892305669e-06
DAC,IE,2.8232566289381463e-07,3.5534780954755196e-07,3.8947227806185486e-07,4.3439579873383713e-07,4.564899321574649e-07,4.6944768561089263e-07,4.880634339360767e-07,5.125673430648213e-07,5.424985709906807e-07,5.770348348209296e-07,6.161574576904538e-07,6.601170306539591e-07,7.053362856866085e-07,7.564849029865814e-07,8.143080989392322e-07,8.778238003323125e-07,9.508154437034769e-07,1.0376936805549747e-06,1.1441850555111976e-06,1.2445316018274672e-06,1.2624751504717347e-06
DAC,IT,3.2014554995375213e-07,3.522327765959594e-07,3.7896620162983755e-07,4.1864590796220146e-07,4.484476662255477e-07,4.705377977136314e-07,4.87280693391362e-07,4.993818378103109e-07,5.153257253517714e-07,5.375421323648437e-07,5.666043499336043e-07,5.998435064535417e-07,6.366399760027662e-07,6.759171208897773e-07,7.16918205666827e-07,7.597909114268818e-07,8.055367831227659e-07,8.596671863019707e-07,9.246283597535873e-07,1.0223377564574508e-06,1.0573509617930796e-06
DAC,LT,3.243371864951154e-07,3.5617378907602806e-07,3.81496515487563e-07,4.1956948393738883e-07,4.483519152667877e-07,4.737416236767071e-07,4.973589658920002e-07,5.180052400552038e-07,5.347692863322697e-07,5.579022175912377e-07,5.907156437894168e-07,6.265737705222047e-07,6.681879131406604e-07,7.165119340683146e-07,7.708894928281658e-07,8.295360481357195e-07,8.934700404775641e-07,9.676145924115812e-07,1.0580406126939254e-06,1.1764064149544662e-06,1.208092495368047e-06
DAC,LU,2.714615018176729e-07,3.4900104910381417e-07,3.8166783934317476e-07,4.293491473114841e-07,4.5835981497825915e-07,4.857352283916674e-07,5.13033073835284e-07,5.377446856091514e-07,5.587443948438484e-07,5.750105276529473e-07,5.970466685834032e-07,6.231356543591108e-07,6.529090669382306e-07,6.89084958517394e-07,7.331970471740468e-07,7.815226367959896e-07,8.343237592508902e-07,8.922355943144115e-07,9.592655382467407e-07,1.0538968037134081e-06,1.082685511771748e-06
DAC,LV,3.2372643525118914e-07,3.562143149828267e-07,3.819334259168413e-07,4.202360882891607e-07,4.492088502217005e-07,4.758259139674705e-07,5.019112192851137e-07,5.267168992192739e-07,5.494567656838222e-07,5.675881596641814e-07,5.922836478561939e-07,6.203421074070225e-07,6.542037300867332e-07,6.961795663845222e-07,7.451421663971202e-07,7.988920898101775e-07,8.57348121425997e-07,9.269377105673244e-07,1.0151077935089728e-06,1.129069003014077e-06,1.1511570851604458e-06
DAC,NL,2.7024894744329477e-07,3.457041883747633e-07,3.7630757073693035e-07,4.0938139318377137e-07,4.273613540840041e-07,4.4886421721770945e-07,4.7236590750077447e-07,4.956573158211795e-07,5.176894123864967e-07,5.417236264944167e-07,5.705231490361327e-07,6.023984150478501e-07,6.376493313066186e-07,6.776400176853921e-07,7.215424866668729e-07,7.715047585983458e-07,8.25671714867666e-07,8.835971280229138e-07,9.463994791259004e-07,1.0176497954585871e-06,1.0616940765778425e-06
