technology,location,0,1,2,3,4,5
carbon_pipeline,BG-EL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,BG-RO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CH-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CH-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CH-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CH-IT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CZ-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CZ-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CZ-PL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,CZ-SK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-BE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-CH,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-CZ,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-DK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-LU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-NL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-PL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-SE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DE-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-NL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-SE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,DK-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,EE-FI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,EE-LV,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,EL-BG,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,EL-IT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,ES-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,ES-PT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FI-EE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FI-NO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FI-SE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-BE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-CH,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-DE,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-ES,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-IT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-LU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,FR-NO,0.0,0.0,0.0,0.0,0.0,0.0
