technology,location,0,1,2,3,4,5,6,7,8,9
biomass_plant,PL,35.036958220833405,31.1579719910925,30.38088679724334,29.796458704284113,28.991768727507047,28.584604914516536,25.466420035797476,25.683700178159135,23.033324745396474,2.135335917443158e-06
biomass_plant,PT,7.621032589710625,6.107711063394073,5.954252705293378,5.79501795887707,5.682050120981474,5.705307821869067,5.490598338391401,5.184358176541199,1.9177892986216625,1.8308694908508338
biomass_plant,RO,0.9534353720015303,0.8078624425538693,0.7878469565201716,0.7729019877885235,0.7569086089220376,0.7463226350541488,0.7258845510426192,0.7919602951141879,0.8523213343870917,1.5876940794141179e-06
biomass_plant,SE,50.196378548483956,44.42513929961821,43.35240988565105,39.069383569790496,33.301879159389536,31.458099025779482,22.901288978639464,22.151827767044033,16.118777017182456,7.246273856640762
biomass_plant,SI,0.5071891990272903,0.42901361486511774,0.4183412669335623,0.40726385138310256,0.40122759969400074,0.394954364604729,0.38713751991120937,4.068567077665277e-07,5.227620126649229e-07,1.712450050529e-06
biomass_plant,SK,0.18965446020457613,0.1608801410011034,0.15687803674467563,0.15401599590195486,0.14977319284051313,0.14810810863220014,0.14518148033618677,0.17620296354286064,5.300738118734069e-07,1.9615505618238604e-06
biomass_plant,UK,345.28595238967506,299.18025283737967,290.3615470440413,279.77647440863194,262.6104229413849,240.12126837756315,222.88757034041132,203.866945304341,221.5373819325382,129.96584361952338
biomass_plant_CCS,AT,2.2962116177356149e-07,2.570921843049213e-07,4.578682588244605e-07,9.035622022521442e-07,3.5156289781879563e-06,7.233561266154746e-06,1.3855678430381018e-05,3.283246492882989e-05,3.433945233875829e-05,0.0004618504236242375
biomass_plant_CCS,BE,2.4688183406522877e-07,2.686916459525638e-07,3.9179547690753694e-07,1.1325633776372682e-06,45.81782785063764,116.17263678241237,115.23234271203427,114.24838028804572,113.28907913758326,111.06410211785352
biomass_plant_CCS,BG,1.7974775939293972e-07,2.2868220045121047e-07,3.5920090840705497e-07,5.707520799828717e-07,1.3823946822437645e-06,1.2092718849074433e-05,58.45649808617262,57.954685330123446,57.42020410897815,56.36189398589783
biomass_plant_CCS,CH,2.235161056680221e-07,2.610773060235714e-07,4.7383585787980557e-07,8.333333673975459e-07,1.7574827632786088e-06,14.307334937624903,14.189449979404943,14.077028308136867,13.947203519795789,13.633812060966086
biomass_plant_CCS,CZ,2.147896652276071e-07,2.437880726242261e-07,3.3333205325619244e-07,7.42220652053004e-07,1.4019092391945129e-06,3.1288026066352242e-06,8.140975089484523e-06,8.236171336184586e-06,8.062111428511171e-06,1.1692081100111259e-05
biomass_plant_CCS,DE,2.582321557808234e-07,2.8375266715875157e-07,5.514600665743389e-07,1.6039267730675132e-06,160.72471357414622,665.26757710309,1112.705261727375,1103.2475240490828,1156.0127086449913,1227.514783200505
biomass_plant_CCS,DK,2.0627348994642259e-07,2.3430852708791854e-07,4.714317576343268e-07,9.649255206146267e-07,3.5089789590321968e-06,97.8473314900761,118.82974674166425,117.80966623844573,116.72317863681168,114.5718913903269
biomass_plant_CCS,EE,2.0700425639215415e-07,2.377999708974572e-07,2.847622186803881e-07,3.6094605913493326e-07,6.272648640981056e-07,1.0930470047572904e-06,1.9995213510412185e-06,2.162872440789445e-06,2.143852724407539e-06,5.8353422796407326e-06
biomass_plant_CCS,EL,1.8141924518406548e-07,2.1769408822927206e-07,3.688474244487684e-07,6.489391647462257e-07,1.9123818198455925e-06,1.461482267781036,60.667820763950104,60.15645471143033,59.601668290977294,58.50316110600427
biomass_plant_CCS,ES,1.7642509103090366e-07,1.9754662066151586e-07,2.53840108392272e-07,3.394693418606141e-07,4.781887610925058e-07,8.648884833700223e-07,1.221006285467845e-06,1.6088196484522003e-06,3.4084309773058842e-06,4.00938231472795e-05
biomass_plant_CCS,FI,1.7462058597031985e-07,2.3506193705744334e-07,2.878508344528016e-07,4.6261146878457286e-07,9.253460036161179e-07,9.440370544129483e-06,108.85164204953671,246.40990525138395,244.46717895426173,239.96154542963316
biomass_plant_CCS,FR,1.7678161386830756e-07,2.1814903099432695e-07,2.908329607360796e-07,5.176880919340958e-07,9.131004715066043e-07,21.34859165862706,232.01100775030704,230.01933529865468,227.8980030978014,215.6332545733781
biomass_plant_CCS,HR,2.2840042419340116e-07,2.6946113042572337e-07,3.979868950646956e-07,9.538969230567034e-07,4.757813735859226,4.905032521463216,4.864632168556023,4.822871914626995,4.778392601972386,4.690307392690494
biomass_plant_CCS,HU,1.8515662312460223e-07,2.2684929163350885e-07,3.163717815315156e-07,5.412607186313446e-07,1.0092530891348127e-06,1.482261431154922e-06,2.2880436855664324e-06,2.44234314166165e-06,2.5659435389989594e-06,6.873574824140094e-06
